epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,137.806,0.69111,0.43677,0.9428,0.96522,0.97628,0.9822,0.73528,0.90781,0.46868,0.9947,0.003169,0.003169,0.003169
71,139.691,0.69099,0.40808,0.9481,0.96114,0.97649,0.98472,0.76262,0.85176,0.45501,0.98915,0.00307,0.00307,0.00307
72,141.926,0.67472,0.41164,0.94035,0.9557,0.95966,0.9853,0.76867,0.83652,0.4595,0.98484,0.002971,0.002971,0.002971
73,143.814,0.67263,0.40854,0.95417,0.93486,0.97405,0.98317,0.76152,0.86429,0.45173,0.9823,0.002872,0.002872,0.002872
74,145.712,0.67354,0.39566,0.94137,0.9429,0.96115,0.98305,0.77615,0.81984,0.45227,0.97364,0.002773,0.002773,0.002773
75,147.616,0.66756,0.4011,0.92506,0.94949,0.96702,0.98454,0.76118,0.86716,0.45268,0.98817,0.002674,0.002674,0.002674
76,149.525,0.65927,0.38828,0.92253,0.94353,0.97522,0.98275,0.7718,0.83666,0.44845,0.97393,0.002575,0.002575,0.002575
77,151.407,0.66455,0.38427,0.91217,0.93231,0.98476,0.98042,0.77759,0.81731,0.45205,0.97145,0.002476,0.002476,0.002476
78,153.324,0.66057,0.39112,0.93648,0.9545,0.98305,0.98224,0.77337,0.81713,0.43969,0.96187,0.002377,0.002377,0.002377
79,155.206,0.66523,0.39836,0.94595,0.95889,0.98402,0.98293,0.76682,0.82749,0.43779,0.96865,0.002278,0.002278,0.002278
80,157.104,0.66411,0.38769,0.92899,0.95247,0.96927,0.98299,0.77417,0.80352,0.42377,0.95668,0.002179,0.002179,0.002179
81,159.022,0.65774,0.38446,0.9246,0.954,0.97567,0.98245,0.76957,0.83514,0.44527,0.96749,0.00208,0.00208,0.00208
82,160.944,0.66544,0.3971,0.93043,0.95893,0.97133,0.98323,0.7895,0.79297,0.43179,0.94949,0.001981,0.001981,0.001981
83,162.91,0.65137,0.38007,0.93708,0.95881,0.96927,0.98282,0.76981,0.86246,0.44078,0.9831,0.001882,0.001882,0.001882
84,164.837,0.64998,0.38049,0.91847,0.97168,0.97471,0.98204,0.78467,0.8051,0.44608,0.96539,0.001783,0.001783,0.001783
85,166.728,0.64644,0.37499,0.90832,0.96645,0.98014,0.98269,0.7825,0.8232,0.43328,0.96404,0.001684,0.001684,0.001684
86,168.703,0.64793,0.3777,0.91954,0.97235,0.98014,0.98387,0.77644,0.83246,0.43692,0.9797,0.001585,0.001585,0.001585
87,170.585,0.63814,0.3685,0.92565,0.96352,0.98014,0.98324,0.79115,0.78053,0.4121,0.95499,0.001486,0.001486,0.001486
88,172.51,0.65029,0.37368,0.92989,0.95738,0.98976,0.98192,0.77821,0.82329,0.4311,0.97508,0.001387,0.001387,0.001387
89,174.425,0.63535,0.36508,0.91691,0.94735,0.98976,0.98094,0.7853,0.79446,0.42605,0.96746,0.001288,0.001288,0.001288
90,176.303,0.61762,0.35794,0.92569,0.94716,0.98976,0.9831,0.78266,0.80237,0.42162,0.96218,0.001189,0.001189,0.001189
91,179.11,0.61915,0.36163,0.91111,0.93839,0.98976,0.98282,0.77105,0.85012,0.41947,0.96958,0.00109,0.00109,0.00109
92,181.045,0.60091,0.34253,0.89612,0.94373,0.98366,0.98269,0.7772,0.81899,0.41774,0.96439,0.000991,0.000991,0.000991
93,182.959,0.61453,0.35721,0.91804,0.9415,0.98976,0.98273,0.78409,0.80795,0.41919,0.96197,0.000892,0.000892,0.000892
94,184.877,0.6204,0.35345,0.91506,0.94174,0.98821,0.98257,0.7792,0.80823,0.41559,0.96159,0.000793,0.000793,0.000793
95,186.805,0.61393,0.35123,0.90731,0.95026,0.98976,0.98278,0.77644,0.81093,0.40939,0.96075,0.000694,0.000694,0.000694
96,188.95,0.60245,0.34629,0.91546,0.95205,0.98976,0.98382,0.78283,0.81744,0.40297,0.96039,0.000595,0.000595,0.000595
97,190.89,0.5966,0.3515,0.89037,0.96295,0.97471,0.98392,0.78338,0.81684,0.40496,0.95825,0.000496,0.000496,0.000496
98,192.809,0.61346,0.33868,0.90415,0.96346,0.97471,0.98334,0.78762,0.79286,0.40227,0.95114,0.000397,0.000397,0.000397
99,194.697,0.60413,0.34238,0.89772,0.95268,0.98976,0.98321,0.79214,0.78592,0.39764,0.94863,0.000298,0.000298,0.000298
100,196.621,0.58994,0.3341,0.90854,0.95282,0.98976,0.98336,0.79459,0.78742,0.39791,0.94907,0.000199,0.000199,0.000199
