epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,147.79,0.70348,0.45784,0.96616,0.96235,0.98003,0.9813,0.74838,0.8605,0.43769,0.98665,0.00278,0.00278,0.00278
76,149.715,0.71032,0.42995,0.95921,0.95408,0.98014,0.98041,0.76891,0.77888,0.44245,0.96094,0.00275,0.00275,0.00275
77,151.642,0.69446,0.42854,0.95096,0.96476,0.98014,0.98362,0.73289,0.87875,0.45188,1.00129,0.00272,0.00272,0.00272
78,153.578,0.74467,0.42725,0.97319,0.96161,0.98014,0.98236,0.73583,0.87457,0.44796,1.00468,0.00269,0.00269,0.00269
79,155.479,0.69245,0.41795,0.96682,0.96327,0.98384,0.98009,0.74523,0.81934,0.41512,0.97859,0.00266,0.00266,0.00266
80,157.401,0.70246,0.41559,0.96583,0.95752,0.98411,0.98268,0.72912,0.91314,0.43722,1.01399,0.00263,0.00263,0.00263
81,159.347,0.68836,0.40699,0.95384,0.95896,0.98041,0.98364,0.75395,0.85191,0.42546,0.99157,0.0026,0.0026,0.0026
82,161.305,0.71334,0.41621,0.98046,0.95283,0.98925,0.98537,0.74278,0.88441,0.42038,1.01166,0.00257,0.00257,0.00257
83,163.298,0.73254,0.41665,0.95871,0.95723,0.98896,0.97811,0.7449,0.86022,0.43334,0.9963,0.00254,0.00254,0.00254
84,165.224,0.69718,0.41002,0.96113,0.94978,0.98495,0.98291,0.77568,0.79941,0.41812,0.96842,0.00251,0.00251,0.00251
85,167.145,0.71122,0.41402,0.95165,0.94258,0.98014,0.98138,0.7686,0.8148,0.4191,0.96884,0.00248,0.00248,0.00248
86,169.074,0.69441,0.40551,0.9642,0.95965,0.98014,0.98287,0.78319,0.76473,0.40473,0.94491,0.00245,0.00245,0.00245
87,171.008,0.68887,0.40589,0.94195,0.95208,0.98853,0.98076,0.77279,0.83436,0.41719,0.97673,0.00242,0.00242,0.00242
88,172.935,0.69604,0.40788,0.94302,0.96177,0.98014,0.98486,0.79271,0.74125,0.38541,0.94542,0.00239,0.00239,0.00239
89,174.87,0.72516,0.4244,0.94822,0.96311,0.98422,0.98462,0.76887,0.82658,0.41372,0.97529,0.00236,0.00236,0.00236
90,176.803,0.70515,0.42585,0.95069,0.96143,0.98014,0.97336,0.75739,0.81347,0.41676,0.97002,0.00233,0.00233,0.00233
